corp_code,corp_name,stock_code,modify_date,market
01170962,GRT,900290,20181122,KOSDAQ
01139266,로스웰,900260,20190312,KOSDAQ
00435297,맥쿼리인프라,088980,20200715,KOSPI
01107665,크리스탈신소재,900250,20201109,KOSDAQ
00173944,우진,105840,20211210,KOSPI
00129350,삼화콘덴서공업,001820,20211117,KOSPI
00303217,우진플라임,049800,20211227,KOSPI
00125938,삼보판지,023600,20211207,KOSDAQ
01036446,서연이화,200880,20211215,KOSPI
00129554,갤럭시아에스엠,011420,20211213,KOSPI
01068348,러셀,217500,20211108,KOSDAQ
01236286,컬러레이,900310,20210924,KOSDAQ
01169434,오가닉티코스메틱,900300,20210707,KOSDAQ
00133663,세동,053060,20211202,KOSDAQ
00132318,성광벤드,014620,20211207,KOSDAQ
00267881,보성파워텍,006910,20211206,KOSDAQ
00105156,극동유화,014530,20220216,KOSPI
00351630,세코닉스,053450,20211202,KOSDAQ
00867098,티로보틱스,117730,20220221,KOSDAQ
00146649,일진홀딩스,015860,20220222,KOSPI
00601191,하나기술,299030,20220221,KOSDAQ
00148443,제일파마홀딩스,002620,20220222,KOSPI
00148939,조광피혁,004700,20220221,KOSPI
00438036,팅크웨어,084730,20220221,KOSDAQ
01255652,레이크머티리얼즈,281740,20220225,KOSDAQ
00664181,인텔리안테크,189300,20220225,KOSDAQ
01058101,라파스,214260,20220225,KOSDAQ
01213586,아이디피,332370,20220225,KOSDAQ
00552992,진매트릭스,109820,20220224,KOSDAQ
01141942,액트로,290740,20220225,KOSDAQ
00447760,미래컴퍼니,049950,20220225,KOSDAQ
00118284,동일금속,109860,20220225,KOSDAQ
00442145,아바코,083930,20220225,KOSDAQ
00411446,큐에스아이,066310,20220225,KOSDAQ
01137295,프리시젼바이오,335810,20220225,KOSDAQ
00532129,영림원소프트랩,060850,20220225,KOSDAQ
01459212,원준,382840,20220225,KOSDAQ
00763473,코스메카코리아,241710,20220225,KOSDAQ
00442048,아바텍,149950,20220225,KOSDAQ
00267979,한일화학,007770,20220224,KOSDAQ
00530121,디에스케이,109740,20220223,KOSDAQ
00166272,화승코퍼레이션,013520,20220228,KOSPI
00946030,로보티즈,108490,20220217,KOSDAQ
00609324,뷰웍스,100120,20220228,KOSDAQ
00143794,원림,005820,20220225,KOSPI
00118965,티에이치엔,019180,20220228,KOSPI
00125488,삼륭물산,014970,20220222,KOSDAQ
00260879,카페24,042000,20220228,KOSDAQ
00362159,웰크론,065950,20221011,KOSDAQ
01303029,알비더블유,361570,20220425,KOSDAQ
01394377,이지스밸류플러스리츠,334890,20221013,KOSPI
00561732,아스플로,159010,20220603,KOSDAQ
