stock_code,current_price,low_52w,high_52w,avg_52w,pct_from_avg_52w,range_position,bottom_dwell_ratio,corp_name,market_cap,updated_at
000100,73600.0,65000.0,136400.0,103194.49,-28.68,12.04,109.85,유한양행,5862063433600.0,2026-08-03T22:19:26
000150,1238000.0,468000.0,2489000.0,996007.35,24.3,38.1,431.84,두산,20047967730000.0,2026-08-03T22:19:26
000040,1240.0,953.0,4205.0,2177.74,-43.06,8.83,341.24,KR모터스,21421044640.0,2026-08-03T22:19:26
000050,8260.0,6200.0,15210.0,8356.21,-1.15,22.86,145.32,경방,226450130200.0,2026-08-03T22:19:26
000120,73900.0,69400.0,154000.0,92977.94,-20.52,5.32,121.9,CJ대한통운,1685832221600.0,2026-08-03T22:19:26
000020,4760.0,4450.0,7560.0,6075.57,-21.65,9.97,69.89,동화약품,132953797200.0,2026-08-03T22:19:26
000180,5110.0,4395.0,9245.0,7250.18,-29.52,14.74,110.35,성창기업지주,71286135200.0,2026-08-03T22:19:26
000140,8080.0,7310.0,12850.0,9536.69,-15.27,13.9,75.79,하이트진로홀딩스,187510661200.0,2026-08-03T22:19:26
000070,57800.0,51500.0,75500.0,62030.35,-6.82,26.25,46.6,삼양홀딩스,448712439800.0,2026-08-03T22:19:26
000080,15220.0,13830.0,22200.0,17989.12,-15.39,16.61,60.52,하이트진로,1067433559420.0,2026-08-03T22:19:26
0001A0,7800.0,5900.0,42800.0,15784.88,-50.59,5.15,625.42,덕양에너젠,198657903600.0,2026-08-03T22:19:26
000270,129600.0,95700.0,212500.0,133063.24,-2.6,29.02,122.05,기아,50597524540800.0,2026-08-03T22:19:26
000230,6160.0,5450.0,17170.0,9826.36,-37.31,6.06,215.05,일동홀딩스,71088864000.0,2026-08-03T22:19:26
000240,24950.0,18690.0,36450.0,25043.68,-0.37,35.25,95.02,한국앤컴퍼니,2368634238000.0,2026-08-03T22:19:26
000210,45950.0,33900.0,77700.0,46423.16,-1.02,27.51,129.2,DL,962922869800.0,2026-08-03T22:19:26
000250,158300.0,120000.0,1233000.0,324230.51,-51.18,3.44,927.5,삼천당제약,3713317817600.0,2026-08-03T22:19:26
000320,15340.0,13950.0,37150.0,22650.04,-32.27,5.99,166.31,노루홀딩스,203886256340.0,2026-08-03T22:19:26
000220,3580.0,3320.0,5100.0,4239.63,-15.56,14.61,53.61,유유제약,56375913960.0,2026-08-03T22:19:26
000370,5610.0,5050.0,10800.0,6101.4,-8.05,9.74,113.86,한화손해보험,654905313150.0,2026-08-03T22:19:26
000430,3560.0,3140.0,6200.0,4025.11,-11.56,13.73,97.45,대원강업,220720000000.0,2026-08-03T22:19:26
000400,1884.0,1569.0,3280.0,1920.21,-1.89,18.41,109.05,롯데손해보험,584673626880.0,2026-08-03T22:19:26
000390,5830.0,5180.0,14300.0,7018.64,-16.94,7.13,176.06,SP삼화,158596224270.0,2026-08-03T22:19:26
0004V0,5640.0,4445.0,29700.0,15779.26,-64.26,4.73,568.17,엔비알모션,62098565760.0,2026-08-03T22:19:26
000480,4615.0,4485.0,5670.0,4951.99,-6.81,10.97,26.42,시알홀딩스,216399611350.0,2026-08-03T22:19:26
000520,6460.0,5500.0,12860.0,9450.7,-31.65,13.04,133.82,삼일제약,140129099060.0,2026-08-03T22:19:26
000500,135600.0,29229.0,352860.0,82169.01,65.03,32.87,1107.23,가온전선,4037843509200.0,2026-08-03T22:19:26
0004Y0,1995.0,1970.0,2270.0,2019.77,-1.23,8.33,15.23,디비금융제14호스팩,10603425000.0,2026-08-03T22:19:26
000490,6480.0,5470.0,13640.0,9543.71,-32.1,12.36,149.36,대동,186798085200.0,2026-08-03T22:19:26
000440,11860.0,11500.0,38000.0,17156.95,-30.87,1.36,230.43,중앙에너비스,73853761800.0,2026-08-03T22:19:26
000540,3160.0,2870.0,7480.0,4014.14,-21.28,6.29,160.63,흥국화재,203006758200.0,2026-08-03T22:19:26
000590,63800.0,60300.0,100300.0,79693.38,-19.94,8.75,66.33,CS홀딩스,73655951600.0,2026-08-03T22:19:26
000640,86100.0,74500.0,121887.0,102082.18,-15.66,24.48,63.61,동아쏘시오홀딩스,579670574700.0,2026-08-03T22:19:26
000720,95600.0,54100.0,198400.0,100386.76,-4.77,28.76,266.73,현대건설,10645611134000.0,2026-08-03T22:19:26
000680,2800.0,2560.0,4965.0,3501.38,-20.03,9.98,93.95,LS네트웍스,220648444800.0,2026-08-03T22:19:26
000660,1567000.0,245000.0,2987000.0,944915.44,65.83,48.21,1119.18,SK하이닉스,1144681535955000.0,2026-08-03T22:19:26
000700,6300.0,5000.0,7200.0,5934.23,6.16,59.09,44.0,유수홀딩스,164063415600.0,2026-08-03T22:19:26
000760,13350.0,10380.0,25250.0,13820.11,-3.4,19.97,143.26,이화산업,37380000000.0,2026-08-03T22:19:26
000670,34200.0,31000.0,71797.0,49905.7,-31.47,7.84,131.6,영풍,629645358600.0,2026-08-03T22:19:26
0007J0,7300.0,6090.0,60200.0,14836.14,-50.8,2.24,888.51,인벤테라,57419712200.0,2026-08-03T22:19:26
0007C0,15140.0,11500.0,77000.0,31814.31,-52.41,5.56,569.57,아크릴,121579105360.0,2026-08-03T22:19:26
000850,31550.0,29450.0,44850.0,34737.68,-9.18,13.64,52.29,화천기공,69410000000.0,2026-08-03T22:19:26
000810,616000.0,412000.0,757000.0,506003.68,21.74,59.13,83.74,삼성화재해상보험,27502843368000.0,2026-08-03T22:19:26
000860,12100.0,11110.0,18880.0,13592.46,-10.98,12.74,69.94,강남제비스코,157300000000.0,2026-08-03T22:19:26
000950,28000.0,22750.0,46500.0,34131.07,-17.96,22.11,104.4,전방,47040000000.0,2026-08-03T22:19:26
000890,1307.0,1230.0,4390.0,2109.79,-38.05,2.44,256.91,보해양조,36104600675.0,2026-08-03T22:19:26
0008Z0,21650.0,19000.0,58400.0,33663.18,-35.69,6.73,207.37,에스엔시스,204301610600.0,2026-08-03T22:19:26
000910,2655.0,2410.0,6150.0,4223.77,-37.14,6.55,155.19,유니온,41448848445.0,2026-08-03T22:19:26
0009K0,21000.0,17400.0,80200.0,44922.92,-53.25,5.73,360.92,에임드바이오,1358094381000.0,2026-08-03T22:19:26
000990,80900.0,42450.0,230500.0,87485.29,-7.53,20.45,442.99,DB하이텍,3519521169200.0,2026-08-03T22:19:26
000970,6540.0,6130.0,7880.0,6921.73,-5.51,23.43,28.55,한국주철관공업,149115270000.0,2026-08-03T22:19:26
001000,626.0,561.0,3085.0,1883.02,-66.76,2.58,449.91,신라섬유,15197740040.0,2026-08-03T22:19:26
0010F0,2155.0,1824.0,13100.0,4329.1,-50.22,2.94,618.2,보원케미칼,24014460155.0,2026-08-03T22:19:26
001020,1903.0,1701.0,5200.0,3174.81,-40.06,5.77,205.7,페이퍼코리아,67740447786.0,2026-08-03T22:19:26
001080,3880.0,2305.0,6240.0,4252.11,-8.75,40.03,170.72,만호제강,161020000000.0,2026-08-03T22:19:26
001040,131100.0,116900.0,235000.0,177956.62,-26.33,12.02,101.03,CJ,3825104437800.0,2026-08-03T22:19:26
001060,23200.0,20700.0,39250.0,26442.83,-12.26,13.48,89.61,JW중외제약,540233576000.0,2026-08-03T22:19:26
0010V0,8700.0,6810.0,30000.0,13889.7,-37.36,8.15,340.53,제이피아이헬스케어,44416980000.0,2026-08-03T22:19:26
001070,6030.0,4805.0,9460.0,6468.05,-6.77,26.32,96.88,대한방직,31959000000.0,2026-08-03T22:19:26
0011A0,8070.0,6890.0,50600.0,19188.81,-57.94,2.7,634.4,액스비스,75323281800.0,2026-08-03T22:19:26
001130,11270.0,10500.0,17270.0,14143.9,-20.32,11.37,64.48,대한제분,190463000000.0,2026-08-03T22:19:26
